"Light Intensity (% of scale max) Run #8","Relative Intensity Run #8","Voltage (V) Run #8"
0.02557,0.02557,0.618
0.02574,0.02574,0.617
0.02553,0.02553,0.615
0.02560,0.02560,0.615
0.02531,0.02531,0.615
0.02521,0.02521,0.614
0.02553,0.02553,0.614
0.02563,0.02563,0.611
0.02567,0.02567,0.611
0.02567,0.02567,0.610
0.02557,0.02557,0.611
0.02553,0.02553,0.609
0.02533,0.02533,0.607
0.02501,0.02501,0.607
0.02505,0.02505,0.607
0.02512,0.02512,0.604
0.02483,0.02483,0.601
0.02467,0.02467,0.601
0.02477,0.02477,0.602
0.02446,0.02446,0.601
0.02480,0.02480,0.600
0.02449,0.02449,0.598
0.02461,0.02461,0.597
0.02452,0.02452,0.596
0.02467,0.02467,0.596
0.02466,0.02466,0.595
0.02434,0.02434,0.593
0.02458,0.02458,0.592
0.02431,0.02431,0.592
0.02432,0.02432,0.591
0.02449,0.02449,0.592
0.02429,0.02429,0.592
0.02411,0.02411,0.592
0.02432,0.02432,0.588
0.02409,0.02409,0.587
0.02403,0.02403,0.586
0.02434,0.02434,0.586
0.02386,0.02386,0.585
0.02393,0.02393,0.583
0.02396,0.02396,0.582
0.02406,0.02406,0.583
0.02399,0.02399,0.582
0.02403,0.02403,0.582
0.02400,0.02400,0.581
0.02414,0.02414,0.580
0.02403,0.02403,0.578
0.02394,0.02394,0.578
0.02376,0.02376,0.578
0.02393,0.02393,0.578
0.02393,0.02393,0.579
0.02390,0.02390,0.578
0.02422,0.02422,0.577
0.02391,0.02391,0.575
0.02425,0.02425,0.575
0.02405,0.02405,0.575
0.02419,0.02419,0.575
0.02409,0.02409,0.576
0.02420,0.02420,0.574
0.02429,0.02429,0.572
0.02446,0.02446,0.571
0.02422,0.02422,0.571
0.02441,0.02441,0.571
0.02426,0.02426,0.568
0.02405,0.02405,0.566
0.02435,0.02435,0.566
0.02411,0.02411,0.566
0.02419,0.02419,0.566
0.02432,0.02432,0.565
0.02423,0.02423,0.562
0.02415,0.02415,0.562
0.02390,0.02390,0.561
0.02435,0.02435,0.561
0.02405,0.02405,0.559
0.02449,0.02449,0.556
0.02426,0.02426,0.556
0.02435,0.02435,0.556
0.02443,0.02443,0.556
0.02461,0.02461,0.556
0.02434,0.02434,0.555
0.02448,0.02448,0.554
0.02417,0.02417,0.553
0.02435,0.02435,0.553
0.02449,0.02449,0.553
0.02423,0.02423,0.553
0.02422,0.02422,0.553
0.02438,0.02438,0.553
0.02405,0.02405,0.552
0.02432,0.02432,0.550
0.02414,0.02414,0.549
0.02388,0.02388,0.548
0.02437,0.02437,0.548
0.02415,0.02415,0.548
0.02423,0.02423,0.549
0.02429,0.02429,0.548
0.02429,0.02429,0.548
0.02423,0.02423,0.546
0.02432,0.02432,0.544
0.02422,0.02422,0.543
0.02434,0.02434,0.543
0.02417,0.02417,0.543
0.02435,0.02435,0.543
0.02431,0.02431,0.543
0.02435,0.02435,0.543
0.02435,0.02435,0.543
0.02422,0.02422,0.543
0.02371,0.02371,0.543
0.02452,0.02452,0.542
0.02422,0.02422,0.543
0.02435,0.02435,0.543
0.02441,0.02441,0.540
0.02417,0.02417,0.538
0.02394,0.02394,0.537
0.02409,0.02409,0.534
0.02417,0.02417,0.533
0.02415,0.02415,0.533
0.02437,0.02437,0.532
0.02385,0.02385,0.531
0.02405,0.02405,0.529
0.02386,0.02386,0.529
0.02376,0.02376,0.529
0.02400,0.02400,0.528
0.02412,0.02412,0.528
0.02415,0.02415,0.528
0.02419,0.02419,0.525
0.02391,0.02391,0.523
0.02403,0.02403,0.523
0.02377,0.02377,0.524
0.02408,0.02408,0.524
0.02400,0.02400,0.523
0.02403,0.02403,0.521
0.02406,0.02406,0.519
0.02406,0.02406,0.519
0.02426,0.02426,0.520
0.02443,0.02443,0.519
0.02432,0.02432,0.519
0.02498,0.02498,0.519
0.02489,0.02489,0.517
0.02487,0.02487,0.516
0.02499,0.02499,0.516
0.02493,0.02493,0.515
0.02469,0.02469,0.512
0.02472,0.02472,0.511
0.02483,0.02483,0.511
0.02544,0.02544,0.510
0.02547,0.02547,0.506
0.02592,0.02592,0.506
0.02612,0.02612,0.506
0.02621,0.02621,0.505
0.02650,0.02650,0.505
0.02667,0.02667,0.502
0.02638,0.02638,0.501
0.02644,0.02644,0.501
0.02670,0.02670,0.501
0.02644,0.02644,0.500
0.02634,0.02634,0.498
0.02628,0.02628,0.497
0.02626,0.02626,0.496
0.02586,0.02586,0.496
0.02577,0.02577,0.496
0.02594,0.02594,0.496
0.02582,0.02582,0.496
0.02602,0.02602,0.494
0.02611,0.02611,0.493
0.02641,0.02641,0.493
0.02625,0.02625,0.492
0.02626,0.02626,0.493
0.02603,0.02603,0.492
0.02626,0.02626,0.491
0.02591,0.02591,0.489
0.02568,0.02568,0.489
0.02580,0.02580,0.489
0.02542,0.02542,0.487
0.02528,0.02528,0.485
0.02524,0.02524,0.484
0.02530,0.02530,0.484
0.02481,0.02481,0.484
0.02477,0.02477,0.484
0.02472,0.02472,0.484
0.02454,0.02454,0.481
0.02441,0.02441,0.480
0.02443,0.02443,0.480
0.02452,0.02452,0.480
0.02426,0.02426,0.479
0.02435,0.02435,0.478
0.02419,0.02419,0.477
0.02423,0.02423,0.475
0.02426,0.02426,0.475
0.02391,0.02391,0.474
0.02429,0.02429,0.475
0.02382,0.02382,0.475
0.02444,0.02444,0.475
0.02396,0.02396,0.475
0.02382,0.02382,0.474
0.02406,0.02406,0.474
0.02434,0.02434,0.474
0.02428,0.02428,0.473
0.02403,0.02403,0.472
0.02385,0.02385,0.470
0.02409,0.02409,0.471
0.02406,0.02406,0.471
0.02391,0.02391,0.470
0.02394,0.02394,0.469
0.02393,0.02393,0.470
0.02402,0.02402,0.470
0.02431,0.02431,0.470
0.02390,0.02390,0.471
0.02408,0.02408,0.470
0.02391,0.02391,0.468
0.02406,0.02406,0.467
0.02415,0.02415,0.466
0.02411,0.02411,0.466
0.02466,0.02466,0.466
0.02486,0.02486,0.466
